시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 양천구 신정동,954-12,954,12,씨티블레스,41.87,28.08,202209,6,"39,000",2,2013,은행정로 57,,중개거래,서울 양천구
서울특별시 양천구 신정동,963-3,963,3,씨티하우스,42.93,23.93,202301,20,"40,000",5,2010,중앙로48길 36,,중개거래,서울 양천구
서울특별시 양천구 신정동,924-14,924,14,아케이드신정1차,39.66,21.31,202205,24,"21,300",5,2010,신정중앙로12길 7-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,924-14,924,14,아케이드신정1차,54.1,29.09,202209,2,"37,500",2,2010,신정중앙로12길 7-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,924-14,924,14,아케이드신정1차,41.08,22.09,202304,17,"22,200",3,2010,신정중앙로12길 7-1,,중개거래,서울 강서구
서울특별시 양천구 신정동,894-13,894,13,양천빌라,35,18.16,202206,7,"23,300",2,1992,목동로29길 15,,중개거래,서울 양천구
서울특별시 양천구 신정동,754-5,754,5,양천에코빌,45.25,26.07,202205,8,"39,500",4,2015,남부순환로88길 5-16,,중개거래,서울 양천구
서울특별시 양천구 신정동,980-19,980,19,에버그린2,29.73,18.42,202206,14,"25,000",4,2014,중앙로46길 60,,중개거래,서울 양천구
서울특별시 양천구 신정동,980-19,980,19,에버그린2,29.73,18.42,202206,22,"26,500",6,2014,중앙로46길 60,,중개거래,서울 양천구
서울특별시 양천구 신정동,1016-16,1016,16,에비앙하우스,51.01,29.42,202209,19,"38,000",2,2013,은행정로4길 15-2,,중개거래,서울 양천구
서울특별시 양천구 신정동,1016-16,1016,16,에비앙하우스,51.01,29.42,202303,14,"36,600",3,2013,은행정로4길 15-2,,중개거래,서울 양천구
서울특별시 양천구 신정동,1016-16,1016,16,에비앙하우스,48.34,29.09,202303,15,"32,500",2,2013,은행정로4길 15-2,,직거래,-
서울특별시 양천구 신정동,1000-7,1000,7,에비앙하우스,28.44,16.75,202303,15,"26,500",4,2015,목동로19길 33-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,878-16,878,16,에스케이이그랑빌,26.3,16.16,202205,26,"29,000",3,2019,신정중앙로 55,,중개거래,서울 강서구
